jobadder_type,jobadder_source,classification,reason,activity_contact_rows,distinct_activities,earliest_activity,latest_activity
Sapture Meeting Attended - Notes,Note,NOTE,Manual meeting history,678,675,2022-04-06T18:46:28Z,2026-06-17T13:27:21Z
Interview,Task,REVIEW,No explicit mapping,598,488,2020-06-30T16:14:45Z,2024-12-12T15:16:48Z
Quil,Note,NOTE,Call summary retained as a note,587,587,2025-04-22T16:01:20Z,2026-01-19T13:31:56Z
Received email,Note,INBOUND_EMAIL,SourceWhale or manually captured received email,430,430,2020-06-30T15:10:56Z,2025-08-06T12:26:24Z
Status Change,Note,EXCLUDE,Administrative record history,406,406,2020-09-02T14:47:30Z,2026-05-19T19:46:41Z
Float Candidate(s),Note,NOTE,Candidate-submission history retained on the contact,405,405,2022-06-01T19:36:40Z,2025-06-17T20:10:51Z
New Client Meeting - Booked,Note,NOTE,Meeting details are not reliably structured,387,387,2022-04-10T16:57:20Z,2026-04-20T18:06:02Z
Manager Names,Note,EXCLUDE,Internal workflow activity,365,365,2020-06-30T15:59:24Z,2025-04-27T20:52:04Z
S/4HANA Survey Email opened & Clicked,Note,EXCLUDE,Automated tracking activity,339,339,2024-05-19T19:29:08Z,2024-05-28T13:33:06Z
Sapture Existing Client Meeting - Booked,Note,NOTE,Meeting details are not reliably structured,324,324,2022-04-07T18:46:13Z,2026-06-11T12:49:51Z
Qualified Prospect,Status,EXCLUDE,Administrative status history,317,317,2023-10-18T14:00:44Z,2026-06-15T15:50:45Z
Document Sent,Document,EXCLUDE,Document audit event,293,293,2020-07-08T20:22:13Z,2026-05-20T20:32:44Z
Quality Lead Pulled,Note,EXCLUDE,Internal workflow activity,289,289,2021-01-10T17:20:14Z,2025-09-30T21:19:22Z
CoRecruit,Note,REVIEW,No explicit mapping,263,263,2026-01-26T16:02:01Z,2026-06-22T18:04:23Z
SMS Received,Sms,NOTE,SMS preserved as a labelled note,259,171,2023-12-07T13:35:30Z,2026-06-22T23:54:45Z
Document Signed,Document,EXCLUDE,Document audit event,250,250,2020-07-14T14:03:36Z,2026-03-31T12:44:08Z
Intro Business Call,Note,CALL,Introductory telephone activity,250,250,2020-07-07T18:13:01Z,2022-04-04T14:42:51Z
Lusha / Seek / LI No Details,Note,EXCLUDE,Internal data-enrichment workflow,234,234,2022-10-19T16:19:09Z,2025-06-29T14:25:26Z
Unqualified Prospect,Status,EXCLUDE,Administrative status history,234,234,2023-10-24T11:50:42Z,2026-03-09T14:44:05Z
SMS,Note,NOTE,SMS preserved as a labelled note,194,194,2022-10-27T16:06:12Z,2026-06-15T14:16:54Z
Dead Prospect,Status,EXCLUDE,Administrative status history,177,177,2023-10-18T14:18:35Z,2025-07-23T06:02:58Z
Email Bounced,Email,REVIEW,No explicit mapping,177,177,2023-06-14T20:54:17Z,2025-11-27T17:08:00Z
Canvassed - Sale (Positive),Note,NOTE,Manual business development history,166,166,2020-06-30T14:27:10Z,2022-04-03T17:25:06Z
Pre-Lead Pulled,Note,EXCLUDE,Internal workflow activity,159,158,2021-01-05T14:05:36Z,2026-06-22T17:56:29Z
Hot Prospect,Status,EXCLUDE,Administrative status history,134,134,2023-10-19T11:33:28Z,2026-06-22T19:17:25Z
Phone Call,Note,CALL,Telephone activity,120,120,2026-03-08T12:00:04Z,2026-03-29T20:19:35Z
ANZSAP Discussion,Note,REVIEW,No explicit mapping,117,117,2023-02-02T15:20:02Z,2026-06-14T17:56:10Z
Resume Submitted,Note,REVIEW,No explicit mapping,115,115,2020-08-09T20:42:39Z,2021-08-30T20:38:56Z
SAUG 2022 Delegate,Note,REVIEW,No explicit mapping,108,108,2022-09-20T21:10:15Z,2022-10-26T12:11:27Z
Client Interview,Email,REVIEW,No explicit mapping,105,105,2020-07-02T12:55:40Z,2024-08-26T14:57:59Z
Salary Trends report sent,Note,REVIEW,No explicit mapping,77,77,2022-10-04T18:02:38Z,2024-07-16T21:20:32Z
LinkedIn Inmail,Note,NOTE,LinkedIn interaction,66,66,2020-07-05T14:46:01Z,2022-04-06T14:19:02Z
NEW BUSINESS LEAD / INTERVIEW LEAD,Note,REVIEW,No explicit mapping,65,65,2020-07-01T18:02:10Z,2020-12-07T11:27:57Z
Capability Statement - Sent Current,Note,REVIEW,No explicit mapping,64,64,2022-10-04T18:10:53Z,2024-02-22T15:34:12Z
Working Prospect,Status,EXCLUDE,Administrative status history,61,61,2023-10-22T16:26:45Z,2026-06-15T13:08:44Z
S/4HANA Survey Completed,Note,REVIEW,No explicit mapping,59,59,2024-06-10T20:02:05Z,2024-11-25T04:42:40Z
Spreadsheet Import,1,EXCLUDE,Administrative import history,55,55,2022-09-28T18:30:48Z,2022-09-28T18:31:04Z
S/4HANA Survey Sent,Email,REVIEW,No explicit mapping,54,54,2024-06-27T19:54:23Z,2024-09-25T20:49:05Z
Contact Merge,Note,EXCLUDE,Administrative record history,52,52,2025-04-03T11:51:16Z,2025-10-13T10:51:36Z
Recommendation Names Given,Note,REVIEW,No explicit mapping,52,52,2020-06-30T14:05:30Z,2024-11-27T16:07:04Z
S/4HANA Survey Partially Completed,Note,REVIEW,No explicit mapping,52,52,2024-06-26T13:31:34Z,2024-11-26T02:23:59Z
Meeting Attended with Notes,Note,NOTE,Manual meeting history,49,49,2020-09-08T19:42:58Z,2022-03-30T11:31:40Z
Canvassed (No Sale),Note,REVIEW,No explicit mapping,36,36,2020-07-01T20:01:28Z,2022-04-06T15:05:12Z
Lusha Details,Note,EXCLUDE,Internal data-enrichment workflow,31,31,2020-06-30T14:51:18Z,2022-03-08T17:48:02Z
TERMS OF BUSINESS - PERMANENT,Email,REVIEW,No explicit mapping,31,28,2020-09-06T14:33:14Z,2026-01-12T17:35:39Z
New Job Pulled,Note,REVIEW,No explicit mapping,30,30,2021-05-16T19:04:37Z,2022-03-09T18:28:37Z
CV Submit,Email,REVIEW,No explicit mapping,20,19,2020-08-30T15:11:39Z,2023-11-14T12:36:22Z
Client Interview Feedback,Note,REVIEW,No explicit mapping,20,20,2022-04-18T15:32:06Z,2025-09-21T01:36:23Z
TOB's / Tender / Proposal Sent,Note,REVIEW,No explicit mapping,20,20,2022-08-11T13:26:21Z,2026-05-18T15:34:51Z
Meeting Booked,Note,NOTE,Meeting details are not reliably structured,19,19,2020-11-22T18:00:11Z,2022-03-20T14:52:40Z
WhatsApp SMS,Note,NOTE,Messaging activity preserved as a note,17,17,2022-12-12T17:07:03Z,2024-09-29T20:58:58Z
Email Received,Note,REVIEW,No explicit mapping,14,14,2024-06-27T12:14:29Z,2026-04-26T16:58:12Z
Ts & Cs SENT,Note,REVIEW,No explicit mapping,14,14,2020-09-03T16:43:05Z,2021-12-21T12:25:02Z
Covid-19 Support Services Document,Email,REVIEW,No explicit mapping,13,13,2020-06-30T14:44:46Z,2020-11-16T19:28:59Z
Placement Check-In Call,Note,REVIEW,No explicit mapping,13,13,2022-05-10T18:32:42Z,2025-05-27T13:54:25Z
References,Note,REVIEW,No explicit mapping,13,13,2020-07-08T16:22:21Z,2026-06-22T16:33:48Z
ANZSAP Hard Copy,Note,REVIEW,No explicit mapping,12,12,2024-12-03T13:06:02Z,2026-04-27T19:40:04Z
Linkedin Tracking,Note,REVIEW,No explicit mapping,11,11,2020-07-05T14:43:25Z,2021-12-15T16:31:33Z
Floating Candidate,Email,REVIEW,No explicit mapping,10,10,2024-07-17T14:48:20Z,2025-02-27T11:29:53Z
Hintro Sent,Note,REVIEW,No explicit mapping,10,10,2020-09-16T20:09:58Z,2020-10-05T17:01:40Z
Interview Feedback,Note,REVIEW,No explicit mapping,10,10,2020-09-07T15:33:46Z,2022-04-04T21:32:02Z
Lead Chased,Note,REVIEW,No explicit mapping,10,10,2021-01-05T14:06:11Z,2022-03-09T16:05:38Z
Business Development,Email,REVIEW,No explicit mapping,9,9,2020-07-13T19:12:55Z,2022-03-13T13:00:45Z
Capability Statement 2022 - sent,Note,REVIEW,No explicit mapping,8,8,2022-09-06T20:43:13Z,2022-09-29T15:07:08Z
Client Feeback on Resume,Note,REVIEW,No explicit mapping,7,7,2024-05-28T16:59:52Z,2025-05-05T02:07:03Z
Client Interview,Note,REVIEW,No explicit mapping,7,7,2023-03-22T11:53:39Z,2025-06-30T18:40:03Z
Email sent,Email,OUTBOUND_EMAIL,Email source and sent type,7,7,2020-07-22T14:44:06Z,2026-05-26T18:58:20Z
Hot Prospect,Note,REVIEW,No explicit mapping,7,7,2024-05-24T16:13:43Z,2026-04-26T20:17:29Z
Salary Trends 2019/2020 report sent,Email,REVIEW,No explicit mapping,7,7,2020-07-28T17:20:01Z,2023-07-04T13:14:13Z
First Day Details,Email,REVIEW,No explicit mapping,6,6,2022-03-06T16:35:09Z,2022-09-18T14:11:48Z
Hinterview,Note,REVIEW,No explicit mapping,6,6,2020-09-06T19:27:55Z,2020-09-13T17:08:24Z
Lead Converted,Note,REVIEW,No explicit mapping,6,6,2021-02-07T17:27:19Z,2021-10-12T17:31:32Z
ANZSAP Vote Campaign,Email,REVIEW,No explicit mapping,5,5,2023-08-24T13:49:44Z,2023-09-25T14:33:11Z
Salary Trends report sent,Email,REVIEW,No explicit mapping,5,5,2023-10-05T11:30:55Z,2024-06-12T15:23:55Z
ANZSAP - Happy to Subscribe,Email,REVIEW,No explicit mapping,4,4,2023-11-14T12:57:08Z,2024-01-31T17:04:20Z
Client Interview 2nd Round,Email,REVIEW,No explicit mapping,4,4,2024-04-16T16:12:41Z,2024-08-06T18:25:17Z
Client Relationship Call (CRC),Sms,REVIEW,No explicit mapping,4,4,2024-03-04T11:43:57Z,2024-11-13T18:17:11Z
New Business Development Meeting,Note,NOTE,Manual meeting history,4,4,2020-09-13T16:33:26Z,2022-03-30T14:49:56Z
Salary Trends 2019/2020 report sent,Note,REVIEW,No explicit mapping,4,4,2020-09-23T02:08:03Z,2020-10-27T18:06:17Z
Sent Women in SAP Q's,Email,REVIEW,No explicit mapping,4,4,2020-07-01T18:06:55Z,2022-09-18T21:02:34Z
Interview,Message,REVIEW,No explicit mapping,3,2,2024-07-23T16:16:21Z,2024-08-14T16:20:05Z
Proposal/Tender Sent,Note,REVIEW,No explicit mapping,3,3,2020-11-25T00:53:20Z,2021-02-19T01:30:49Z
SMS,Sms,NOTE,SMS preserved as a labelled note,3,3,2025-02-27T11:13:36Z,2026-01-08T11:50:09Z
CRC - Lead Chased,Note,REVIEW,No explicit mapping,2,2,2022-04-26T17:24:17Z,2023-02-15T15:34:11Z
Document Sent,Note,REVIEW,No explicit mapping,2,2,2022-09-27T14:30:52Z,2022-10-23T13:41:06Z
Email,Email,REVIEW,No explicit mapping,2,2,2020-10-12T11:06:04Z,2020-10-15T13:23:59Z
Email Reply,Note,NOTE,Direction is inconsistent; preserve safely as a note,2,2,2025-06-29T12:10:11Z,2025-07-07T01:16:53Z
Follow up,Email,REVIEW,No explicit mapping,2,2,2021-07-22T16:06:11Z,2023-11-01T13:30:36Z
Lead Sale,Note,REVIEW,No explicit mapping,2,2,2021-01-05T14:10:12Z,2022-02-27T15:03:33Z
Message,Message,REVIEW,No explicit mapping,2,2,2024-07-17T14:54:51Z,2024-07-23T14:53:00Z
Qualified Prospect,Note,REVIEW,No explicit mapping,2,2,2024-11-28T12:26:06Z,2025-07-11T00:04:26Z
Resume Submitted,Email,REVIEW,No explicit mapping,2,2,2024-07-23T15:18:57Z,2026-02-23T15:21:05Z
Salary Survey 2022/23 - sent,Note,REVIEW,No explicit mapping,2,2,2022-09-07T18:57:55Z,2022-10-04T17:03:41Z
Unqualified Prospect,Note,REVIEW,No explicit mapping,2,2,2025-05-13T01:35:06Z,2025-07-27T23:26:14Z
Working Prospect,Note,REVIEW,No explicit mapping,2,2,2025-02-02T17:36:27Z,2025-07-21T22:11:49Z
Client visit,Email,REVIEW,No explicit mapping,1,1,2023-10-25T11:40:29Z,2023-10-25T11:40:29Z
Covid-19 Related Documents,Note,REVIEW,No explicit mapping,1,1,2023-08-06T19:42:13Z,2023-08-06T19:42:13Z
Dead Prospect,Note,REVIEW,No explicit mapping,1,1,2025-05-14T19:43:33Z,2025-05-14T19:43:33Z
Details Requested,Email,REVIEW,No explicit mapping,1,1,2026-05-26T15:27:07Z,2026-05-26T15:27:07Z
Quality Lead House Account,Note,REVIEW,No explicit mapping,1,1,2022-12-06T16:01:04Z,2022-12-06T16:01:04Z
S/4HANA Survey Phone,Note,REVIEW,No explicit mapping,1,1,2024-08-11T20:47:07Z,2024-08-11T20:47:07Z
Sapture Website Lead,Note,REVIEW,No explicit mapping,1,1,2020-09-21T20:15:00Z,2020-09-21T20:15:00Z
Sent LinkedIn voice note,Note,NOTE,LinkedIn interaction,1,1,2021-04-21T11:46:58Z,2021-04-21T11:46:58Z
